user_id,date,description,merchant,category,amount,is_injected_anomaly
synthetic-user-0,2025-02-11,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,15769.29,0
synthetic-user-0,2025-02-13,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2341.51,0
synthetic-user-0,2025-02-16,DMART,DMART,Groceries,1869.25,0
synthetic-user-0,2025-02-16,DMART,DMART,Groceries,1992.16,0
synthetic-user-0,2025-02-17,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1932.61,0
synthetic-user-0,2025-02-20,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,412.12,0
synthetic-user-0,2025-02-20,BIGBASKET,BIGBASKET,Groceries,1383.84,0
synthetic-user-0,2025-02-22,MYNTRA,MYNTRA,Shopping,1246.1,0
synthetic-user-0,2025-02-22,UBER,UBER,Transportation,128.72,0
synthetic-user-0,2025-02-24,UBER,UBER,Transportation,221.33,0
synthetic-user-0,2025-02-24,FLIPKART,FLIPKART,Shopping,1097.26,0
synthetic-user-0,2025-02-25,UBER,UBER,Transportation,170.05,0
synthetic-user-0,2025-02-25,SALARY CREDIT,SALARY CREDIT,Salary,87263.46,0
synthetic-user-0,2025-02-27,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1042.13,0
synthetic-user-0,2025-02-27,SALARY CREDIT,SALARY CREDIT,Salary,75856.07,0
synthetic-user-0,2025-02-28,SALARY CREDIT,SALARY CREDIT,Salary,40349.15,0
synthetic-user-0,2025-03-01,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2939.89,0
synthetic-user-0,2025-03-02,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,553.12,0
synthetic-user-0,2025-03-04,ZERODHA,ZERODHA,Investment,4459.97,0
synthetic-user-0,2025-03-04,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,465.29,0
synthetic-user-0,2025-03-05,SWIGGY,SWIGGY,Food,416.89,0
synthetic-user-0,2025-03-06,ZOMATO,ZOMATO,Food,436.56,0
synthetic-user-0,2025-03-08,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,969.23,0
synthetic-user-0,2025-03-09,SALARY CREDIT,SALARY CREDIT,Salary,76059.69,0
synthetic-user-0,2025-03-10,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2254.5,0
synthetic-user-0,2025-03-13,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2338.69,0
synthetic-user-0,2025-03-16,ZOMATO,ZOMATO,Food,319.99,0
synthetic-user-0,2025-03-16,MYNTRA,MYNTRA,Shopping,925.8,0
synthetic-user-0,2025-03-16,OLA CABS,OLA CABS,Transportation,165.54,0
synthetic-user-0,2025-03-17,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,981.37,0
synthetic-user-0,2025-03-17,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,530.11,0
synthetic-user-0,2025-03-17,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1125.8,0
synthetic-user-0,2025-03-18,SALARY CREDIT,SALARY CREDIT,Salary,67229.21,0
synthetic-user-0,2025-03-18,SWIGGY,SWIGGY,Food,401.78,0
synthetic-user-0,2025-03-21,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,14236.64,0
synthetic-user-0,2025-03-24,FLIPKART,FLIPKART,Shopping,1226.01,0
synthetic-user-0,2025-03-25,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,504.32,0
synthetic-user-0,2025-03-25,ZERODHA,ZERODHA,Investment,5243.15,0
synthetic-user-0,2025-03-26,ZERODHA,ZERODHA,Investment,5421.26,0
synthetic-user-0,2025-03-26,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1046.4,0
synthetic-user-0,2025-03-29,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,962.43,0
synthetic-user-0,2025-03-29,ZERODHA,ZERODHA,Investment,4898.37,0
synthetic-user-0,2025-03-31,OLA CABS,OLA CABS,Transportation,168.67,0
synthetic-user-0,2025-04-02,FLIPKART,FLIPKART,Shopping,885.95,0
synthetic-user-0,2025-04-05,STARBUCKS,STARBUCKS,Food,302.16,0
synthetic-user-0,2025-04-05,OLA CABS,OLA CABS,Transportation,182.2,0
synthetic-user-0,2025-04-07,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,795.67,0
synthetic-user-0,2025-04-09,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,11851.17,0
synthetic-user-0,2025-04-11,ZERODHA,ZERODHA,Investment,6380.79,0
synthetic-user-0,2025-04-13,BIGBASKET,BIGBASKET,Groceries,1520.38,0
synthetic-user-0,2025-04-14,BIGBASKET,BIGBASKET,Groceries,1493.77,0
synthetic-user-0,2025-04-16,MYNTRA,MYNTRA,Shopping,1369.36,0
synthetic-user-0,2025-04-17,AMAZON,AMAZON,Shopping,1063.19,0
synthetic-user-0,2025-04-17,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2191.47,0
synthetic-user-0,2025-04-19,MYNTRA,MYNTRA,Shopping,1542.39,0
synthetic-user-0,2025-04-21,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,11824.52,0
synthetic-user-0,2025-04-24,BIGBASKET,BIGBASKET,Groceries,1915.05,0
synthetic-user-0,2025-04-25,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,740.85,0
synthetic-user-0,2025-04-26,ZOMATO,ZOMATO,Food,354.02,0
synthetic-user-0,2025-04-26,OLA CABS,OLA CABS,Transportation,233.98,0
synthetic-user-0,2025-04-27,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,687.02,0
synthetic-user-0,2025-04-30,DMART,DMART,Groceries,1388.25,0
synthetic-user-0,2025-05-01,UBER,UBER,Transportation,204.94,0
synthetic-user-0,2025-05-03,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2149.87,0
synthetic-user-0,2025-05-04,BIGBASKET,BIGBASKET,Groceries,1453.22,0
synthetic-user-0,2025-05-07,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,15425.46,0
synthetic-user-0,2025-05-09,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1037.31,0
synthetic-user-0,2025-05-12,STARBUCKS,STARBUCKS,Food,304.29,0
synthetic-user-0,2025-05-14,ZERODHA,ZERODHA,Investment,3292.51,0
synthetic-user-0,2025-05-16,BIGBASKET,BIGBASKET,Groceries,1873.75,0
synthetic-user-0,2025-05-18,AMAZON,AMAZON,Shopping,1435.56,0
synthetic-user-0,2025-05-20,MYNTRA,MYNTRA,Shopping,1572.17,0
synthetic-user-0,2025-05-23,ZERODHA,ZERODHA,Investment,6201.66,0
synthetic-user-0,2025-05-24,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2669.97,0
synthetic-user-0,2025-05-24,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,388.08,0
synthetic-user-0,2025-05-25,STARBUCKS,STARBUCKS,Food,167.89,0
synthetic-user-0,2025-05-27,BIGBASKET,BIGBASKET,Groceries,1464.08,0
synthetic-user-0,2025-05-29,MYNTRA,MYNTRA,Shopping,1313.27,0
synthetic-user-0,2025-06-01,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,499.13,0
synthetic-user-0,2025-06-04,UBER,UBER,Transportation,222.47,0
synthetic-user-0,2025-06-06,SWIGGY,SWIGGY,Food,338.02,0
synthetic-user-0,2025-06-08,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,16457.94,0
synthetic-user-0,2025-06-09,UBER,UBER,Transportation,186.72,0
synthetic-user-0,2025-06-11,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,897.0,0
synthetic-user-0,2025-06-13,OLA CABS,OLA CABS,Transportation,184.99,0
synthetic-user-0,2025-06-16,STARBUCKS,STARBUCKS,Food,259.22,0
synthetic-user-0,2025-06-19,OLA CABS,OLA CABS,Transportation,174.75,0
synthetic-user-0,2025-06-22,SWIGGY,SWIGGY,Food,299.34,0
synthetic-user-0,2025-06-22,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1169.57,0
synthetic-user-0,2025-06-25,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1337.44,0
synthetic-user-0,2025-06-25,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,11690.63,0
synthetic-user-0,2025-06-27,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,9191.47,0
synthetic-user-0,2025-06-30,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,412.53,0
synthetic-user-0,2025-07-03,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1029.44,0
synthetic-user-0,2025-07-05,ZERODHA,ZERODHA,Investment,4447.96,0
synthetic-user-0,2025-07-08,FLIPKART,FLIPKART,Shopping,1010.72,0
synthetic-user-0,2025-07-09,MYNTRA,MYNTRA,Shopping,1572.17,0
synthetic-user-0,2025-07-10,DMART,DMART,Groceries,1923.43,0
synthetic-user-0,2025-07-11,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2020.15,0
synthetic-user-0,2025-07-11,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2522.9,0
synthetic-user-0,2025-07-14,SWIGGY,SWIGGY,Food,405.58,0
synthetic-user-1,2025-01-16,LUXURY WATCH BOUTIQUE,LUXURY WATCH BOUTIQUE,Shopping,53405.16,1
synthetic-user-1,2025-01-19,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,359.92,0
synthetic-user-1,2025-01-20,AMAZON,AMAZON,Shopping,1159.81,0
synthetic-user-1,2025-01-22,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,607.56,0
synthetic-user-1,2025-01-23,DMART,DMART,Groceries,2368.08,0
synthetic-user-1,2025-01-26,SWIGGY,SWIGGY,Food,342.16,0
synthetic-user-1,2025-01-26,DMART,DMART,Groceries,2127.3,0
synthetic-user-1,2025-01-28,OLA CABS,OLA CABS,Transportation,167.31,0
synthetic-user-1,2025-01-31,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,560.0,0
synthetic-user-1,2025-02-03,STARBUCKS,STARBUCKS,Food,340.71,0
synthetic-user-1,2025-02-06,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,4767.12,1
synthetic-user-1,2025-02-06,ZOMATO,ZOMATO,Food,403.9,0
synthetic-user-1,2025-02-07,DMART,DMART,Groceries,1266.88,0
synthetic-user-1,2025-02-08,BIGBASKET,BIGBASKET,Groceries,1354.8,0
synthetic-user-1,2025-02-10,UBER,UBER,Transportation,191.77,0
synthetic-user-1,2025-02-10,UBER,UBER,Transportation,214.0,0
synthetic-user-1,2025-02-10,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,589.55,0
synthetic-user-1,2025-02-13,OLA CABS,OLA CABS,Transportation,216.73,0
synthetic-user-1,2025-02-14,FLIPKART,FLIPKART,Shopping,1105.59,0
synthetic-user-1,2025-02-14,ZOMATO,ZOMATO,Food,363.61,0
synthetic-user-1,2025-02-16,MYNTRA,MYNTRA,Shopping,1694.94,0
synthetic-user-1,2025-02-16,SALARY CREDIT,SALARY CREDIT,Salary,84555.85,0
synthetic-user-1,2025-02-19,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2717.01,0
synthetic-user-1,2025-02-20,AMAZON,AMAZON,Shopping,898.36,0
synthetic-user-1,2025-02-23,AMAZON,AMAZON,Shopping,930.98,0
synthetic-user-1,2025-02-25,STARBUCKS,STARBUCKS,Food,242.58,0
synthetic-user-1,2025-02-28,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,695.75,0
synthetic-user-1,2025-03-02,UBER,UBER,Transportation,1785.06,1
synthetic-user-1,2025-03-04,MYNTRA,MYNTRA,Shopping,1443.86,0
synthetic-user-1,2025-03-06,ZERODHA,ZERODHA,Investment,5992.5,0
synthetic-user-1,2025-03-07,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1645.4,0
synthetic-user-1,2025-03-10,SALARY CREDIT,SALARY CREDIT,Salary,66177.99,0
synthetic-user-1,2025-03-13,STARBUCKS,STARBUCKS,Food,239.53,0
synthetic-user-1,2025-03-14,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,744.3,0
synthetic-user-1,2025-03-17,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,505.18,0
synthetic-user-1,2025-03-19,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,16680.44,0
synthetic-user-1,2025-03-21,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1071.24,0
synthetic-user-1,2025-03-21,UBER,UBER,Transportation,213.49,0
synthetic-user-1,2025-03-22,SALARY CREDIT,SALARY CREDIT,Salary,62843.4,0
synthetic-user-1,2025-03-24,OLA CABS,OLA CABS,Transportation,215.54,0
synthetic-user-1,2025-03-26,UBER,UBER,Transportation,184.82,0
synthetic-user-1,2025-03-27,ZOMATO,ZOMATO,Food,489.12,0
synthetic-user-1,2025-03-29,DMART,DMART,Groceries,1675.15,0
synthetic-user-1,2025-03-29,FLIPKART,FLIPKART,Shopping,808.93,0
synthetic-user-1,2025-04-01,MYNTRA,MYNTRA,Shopping,1529.29,0
synthetic-user-1,2025-04-04,STARBUCKS,STARBUCKS,Food,261.16,0
synthetic-user-1,2025-04-07,ZOMATO,ZOMATO,Food,463.42,0
synthetic-user-1,2025-04-09,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1223.3,0
synthetic-user-1,2025-04-09,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1741.78,0
synthetic-user-1,2025-04-10,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,500.56,0
synthetic-user-1,2025-04-13,FLIPKART,FLIPKART,Shopping,1290.64,0
synthetic-user-1,2025-04-15,ZOMATO,ZOMATO,Food,259.77,0
synthetic-user-1,2025-04-15,OLA CABS,OLA CABS,Transportation,165.08,0
synthetic-user-1,2025-04-15,UBER,UBER,Transportation,183.31,0
synthetic-user-1,2025-04-15,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1778.28,0
synthetic-user-1,2025-04-17,LUXURY WATCH BOUTIQUE,LUXURY WATCH BOUTIQUE,Shopping,46634.44,1
synthetic-user-1,2025-04-20,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1061.61,0
synthetic-user-1,2025-04-22,OLA CABS,OLA CABS,Transportation,149.81,0
synthetic-user-1,2025-04-23,DMART,DMART,Groceries,2170.52,0
synthetic-user-1,2025-04-23,FLIPKART,FLIPKART,Shopping,768.7,0
synthetic-user-1,2025-04-25,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,12640.72,0
synthetic-user-1,2025-04-27,AMAZON,AMAZON,Shopping,989.96,0
synthetic-user-1,2025-04-27,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2198.86,0
synthetic-user-1,2025-04-29,SWIGGY,SWIGGY,Food,462.72,0
synthetic-user-1,2025-04-29,AMAZON,AMAZON,Shopping,1449.8,0
synthetic-user-1,2025-04-29,UBER,UBER,Transportation,157.19,0
synthetic-user-1,2025-05-01,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2288.3,0
synthetic-user-1,2025-05-04,SALARY CREDIT,SALARY CREDIT,Salary,59930.88,0
synthetic-user-1,2025-05-04,MYNTRA,MYNTRA,Shopping,1665.42,0
synthetic-user-1,2025-05-07,FLIPKART,FLIPKART,Shopping,920.79,0
synthetic-user-1,2025-05-07,MYNTRA,MYNTRA,Shopping,1305.88,0
synthetic-user-1,2025-05-09,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,709.86,0
synthetic-user-1,2025-05-09,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,355.43,0
synthetic-user-1,2025-05-12,OLA CABS,OLA CABS,Transportation,142.56,0
synthetic-user-1,2025-05-15,ZOMATO,ZOMATO,Food,390.32,0
synthetic-user-1,2025-05-16,DMART,DMART,Groceries,2289.43,0
synthetic-user-1,2025-05-19,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,929.3,0
synthetic-user-1,2025-05-20,SWIGGY,SWIGGY,Food,328.02,0
synthetic-user-1,2025-05-20,BIGBASKET,BIGBASKET,Groceries,1467.91,0
synthetic-user-1,2025-05-21,FLIPKART,FLIPKART,Shopping,880.3,0
synthetic-user-1,2025-05-24,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,993.32,0
synthetic-user-1,2025-05-27,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,643.3,0
synthetic-user-1,2025-05-28,AMAZON,AMAZON,Shopping,1426.71,0
synthetic-user-1,2025-05-31,ZERODHA,ZERODHA,Investment,4994.21,0
synthetic-user-1,2025-06-02,SALARY CREDIT,SALARY CREDIT,Salary,65694.75,0
synthetic-user-1,2025-06-03,SALARY CREDIT,SALARY CREDIT,Salary,58047.91,0
synthetic-user-1,2025-06-06,MYNTRA,MYNTRA,Shopping,1735.67,0
synthetic-user-1,2025-06-07,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,901.54,0
synthetic-user-1,2025-06-10,SALARY CREDIT,SALARY CREDIT,Salary,61899.58,0
synthetic-user-1,2025-06-13,DMART,DMART,Groceries,1917.63,0
synthetic-user-1,2025-06-15,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,15018.14,0
synthetic-user-1,2025-06-15,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,16249.6,0
synthetic-user-1,2025-06-16,AMAZON,AMAZON,Shopping,1209.67,0
synthetic-user-1,2025-06-18,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,495.66,0
synthetic-user-1,2025-06-21,SALARY CREDIT,SALARY CREDIT,Salary,49598.92,0
synthetic-user-1,2025-06-21,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,770.49,0
synthetic-user-1,2025-06-22,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1654.38,0
synthetic-user-1,2025-06-22,BIGBASKET,BIGBASKET,Groceries,1175.19,0
synthetic-user-1,2025-06-22,ZOMATO,ZOMATO,Food,432.0,0
synthetic-user-1,2025-06-24,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2447.8,0
synthetic-user-1,2025-06-25,STARBUCKS,STARBUCKS,Food,286.57,0
synthetic-user-1,2025-06-28,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,801.58,0
synthetic-user-1,2025-06-29,AMAZON,AMAZON,Shopping,1203.49,0
synthetic-user-1,2025-07-02,SWIGGY,SWIGGY,Food,397.29,0
synthetic-user-1,2025-07-04,UBER,UBER,Transportation,180.08,0
synthetic-user-1,2025-07-04,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,730.84,0
synthetic-user-1,2025-07-07,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,14852.96,0
synthetic-user-1,2025-07-09,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,624.8,0
synthetic-user-1,2025-07-12,FLIPKART,FLIPKART,Shopping,943.26,0
synthetic-user-1,2025-07-14,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,4580.48,1
synthetic-user-1,2025-07-14,SALARY CREDIT,SALARY CREDIT,Salary,75472.33,0
synthetic-user-1,2025-07-15,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,466.59,0
synthetic-user-1,2025-07-16,AMAZON,AMAZON,Shopping,1073.91,0
synthetic-user-1,2025-07-17,ZOMATO,ZOMATO,Food,313.84,0
synthetic-user-1,2025-07-19,ZOMATO,ZOMATO,Food,314.51,0
synthetic-user-1,2025-07-19,MYNTRA,MYNTRA,Shopping,1324.86,0
synthetic-user-1,2025-07-22,DMART,DMART,Groceries,2139.52,0
synthetic-user-1,2025-07-24,AMAZON,AMAZON,Shopping,841.53,0
synthetic-user-1,2025-07-25,SALARY CREDIT,SALARY CREDIT,Salary,72983.98,0
synthetic-user-1,2025-07-27,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,14617.05,0
synthetic-user-2,2025-01-31,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1153.63,0
synthetic-user-2,2025-02-03,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,366.58,0
synthetic-user-2,2025-02-05,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,710.01,0
synthetic-user-2,2025-02-08,AMAZON,AMAZON,Shopping,1219.5,0
synthetic-user-2,2025-02-11,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,704.21,0
synthetic-user-2,2025-02-11,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,481.01,0
synthetic-user-2,2025-02-13,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,872.23,0
synthetic-user-2,2025-02-16,FLIPKART,FLIPKART,Shopping,829.48,0
synthetic-user-2,2025-02-19,ZOMATO,ZOMATO,Food,448.23,0
synthetic-user-2,2025-02-22,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,957.67,0
synthetic-user-2,2025-02-23,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,572.1,0
synthetic-user-2,2025-02-26,DMART,DMART,Groceries,1565.83,0
synthetic-user-2,2025-03-01,SALARY CREDIT,SALARY CREDIT,Salary,47762.5,0
synthetic-user-2,2025-03-03,LUXURY WATCH BOUTIQUE,LUXURY WATCH BOUTIQUE,Shopping,35011.31,1
synthetic-user-2,2025-03-04,BIGBASKET,BIGBASKET,Groceries,1146.39,0
synthetic-user-2,2025-03-06,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,721.63,0
synthetic-user-2,2025-03-06,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,15671.32,0
synthetic-user-2,2025-03-06,SWIGGY,SWIGGY,Food,394.92,0
synthetic-user-2,2025-03-07,OLA CABS,OLA CABS,Transportation,187.6,0
synthetic-user-2,2025-03-07,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,462.52,0
synthetic-user-2,2025-03-08,DMART,DMART,Groceries,2201.73,0
synthetic-user-2,2025-03-08,DMART,DMART,Groceries,2372.83,0
synthetic-user-2,2025-03-09,SWIGGY,SWIGGY,Food,344.88,0
synthetic-user-2,2025-03-10,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,9533.12,1
synthetic-user-2,2025-03-10,ZOMATO,ZOMATO,Food,443.86,0
synthetic-user-2,2025-03-10,SALARY CREDIT,SALARY CREDIT,Salary,72286.18,0
synthetic-user-2,2025-03-13,ZERODHA,ZERODHA,Investment,4315.79,0
synthetic-user-2,2025-03-14,ZOMATO,ZOMATO,Food,363.47,0
synthetic-user-2,2025-03-16,SWIGGY,SWIGGY,Food,405.62,0
synthetic-user-2,2025-03-19,BIGBASKET,BIGBASKET,Groceries,1595.82,0
synthetic-user-2,2025-03-22,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,15826.83,0
synthetic-user-2,2025-03-23,AMAZON,AMAZON,Shopping,1232.92,0
synthetic-user-2,2025-03-25,ZERODHA,ZERODHA,Investment,4752.21,0
synthetic-user-2,2025-03-28,BIGBASKET,BIGBASKET,Groceries,1756.49,0
synthetic-user-2,2025-03-29,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,759.05,0
synthetic-user-2,2025-04-01,BIGBASKET,BIGBASKET,Groceries,1717.4,0
synthetic-user-2,2025-04-03,AMAZON,AMAZON,Shopping,1127.07,0
synthetic-user-2,2025-04-06,STARBUCKS,STARBUCKS,Food,265.33,0
synthetic-user-2,2025-04-06,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,695.97,0
synthetic-user-2,2025-04-08,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,1810.55,0
synthetic-user-2,2025-04-10,ELECTRICITY BILL PAYMENT,ELECTRICITY BILL PAYMENT,Bills,2556.35,0
synthetic-user-2,2025-04-12,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,534.33,0
synthetic-user-2,2025-04-12,OLA CABS,OLA CABS,Transportation,197.46,0
synthetic-user-2,2025-04-12,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,513.98,0
synthetic-user-2,2025-04-14,AMAZON,AMAZON,Shopping,908.15,0
synthetic-user-2,2025-04-14,AMAZON,AMAZON,Shopping,1053.37,0
synthetic-user-2,2025-04-14,FLIPKART,FLIPKART,Shopping,1122.88,0
synthetic-user-2,2025-04-15,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,559.46,0
synthetic-user-2,2025-04-15,SWIGGY,SWIGGY,Food,404.12,0
synthetic-user-2,2025-04-18,MYNTRA,MYNTRA,Shopping,1650.82,0
synthetic-user-2,2025-04-19,MYNTRA,MYNTRA,Shopping,1548.89,0
synthetic-user-2,2025-04-19,DMART,DMART,Groceries,1617.04,0
synthetic-user-2,2025-04-20,ZOMATO,ZOMATO,Food,378.01,0
synthetic-user-2,2025-04-23,HOUSE RENT NEFT,HOUSE RENT NEFT,Rent,13407.53,0
synthetic-user-2,2025-04-26,ZERODHA,ZERODHA,Investment,5600.32,0
synthetic-user-2,2025-04-28,SALARY CREDIT,SALARY CREDIT,Salary,71777.88,0
synthetic-user-2,2025-04-30,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,629.02,0
synthetic-user-2,2025-05-01,OLA CABS,OLA CABS,Transportation,179.12,0
synthetic-user-2,2025-05-02,FLIPKART,FLIPKART,Shopping,991.19,0
